Institution,Subject,Name,Type,Number,Section,Instructor,Date
Smith,HST,ANCIENT GREECE,Lect,202,1,Richard Lim,MW 01:20-02:35
Smith,HST,ANCIENT-HEALTH & MEDICINE,Coll,206,1,Richard Lim,MW 02:45-04:00
Smith,HST,INTRO HISTRY MOD MID EAST,Lect,208,1,Susanna Ferguson,TTh 01:20-02:35
Smith,HST,COLQ:CHINESE HST-THOUGHT/CHINA,Coll,214,1,Daniel Gardner,TTh 01:20-02:35
Smith,HST,COLQ:A JAPANESE-PROTEST,Lect,222,1,Marnie Anderson,TTh 10:50-12:05
Smith,HST,MAKING OF THE MEDIEVAL WORLD,Lect,225,1,Joshua Birk,MWF 01:20-02:35
Smith,HST,A WORLD BEFORE RACE,Coll,229,1,Joshua Birk,MW 10:50-12:05
Smith,HST,COLQ: GLOBAL AFRICA,Coll,234,1,Jeffrey Ahlman,TTh 09:25-10:40
Smith,HST,EUROPE IN THE 19TH CENTURY,Lect,250,1,Ernest Benz,MW 07:00-09:00
Smith,HST,MODERN AFRICA,Lect,258,1,Jeffrey Ahlman,MW 09:25-10:40
Smith,HST,COLQ: LAT AM-WOMEN & GENDER,Coll,263,1,Diana Sierra Becerra,TTh 10:50-12:05
Smith,HST,VAST EARLY AMERICA,Lect,269,1,Jordan Taylor,MW 09:25-10:40
Smith,HST,COLQ:AMERICAN-SLAVE REVOLT,Coll,270,1,Elizabeth Pryor,MW 09:25-10:40
Smith,HST,FAKE NEWS IN AMER HISTORY,Coll,273,1,Jordan Taylor,MW 10:50-12:05
Smith,HST,DECOLONIZNG US WOMEN'S HISTORY,Lect,278,1,Jennifer Guglielmo,WF 02:45-04:00
Smith,HST,URBAN HISTORIES/ GLOBAL SOUTH,Lect,283,1,Rachel Newman,TTh 01:20-02:35
Smith,HST,HISTORIOGRAPHIC DEBATES,Coll,286,1,Darcy Buerkle,T 07:00-10:00
Smith,HST,COLQ: WORLD-YOUTH/ GLOBAL S.,Coll,288,1,Rachel Newman,TTh 10:50-12:05
Smith,HST,TEACHING HISTORY,Semi,390,1,Paula Tarankow,W 07:00-09:30
Smith,IDP,AERIAL IMAGERY & CINEMATOGRAPH,Lab,109,1,Jon Caris,W 01:10-04:00
Smith,IDP,AEMES SEMINAR,Lect,115,1,Valerie Joseph,TTh 10:50-12:05
Smith,IDP,PATH for AEMES SCHOLARS,Lect,125,1,Valerie Joseph,Th 07:00-08:20
Smith,IDP,DESIGNING YOUR PATH,Lect,132,1,Jessica Bacal,Th 07:00-08:15
Smith,IDP,DESIGNING YOUR PATH,Lect,132,2,Jessica Bacal,F 02:45-04:00
Smith,IDP,APPLIED LEARNING STRATEGIES,Lect,136,1,Kelly Vogel,TTh 09:25-10:40
Smith,IDP,"PROCESS, PROSE & PEDAGOGY",Lect,145,1,Sara Eddy,M 04:10-05:25
Smith,IDP,CRITICAL PERSPECT/ ENTREPRENEU,Lect,146,1,Fadia Hasan,WF 10:50-12:05
Smith,IDP,SEM: AMERICAN SOCIETY & CULTUR,Semi,555,1,Walter Hall-Witt,M 07:00-09:00
Smith,ITL,ELEMENTARY ITALIAN,Lect,110Y,1,Maria Succi-Hempstead,MWF 09:25-10:35
Smith,ITL,ACCELERATED ELEM ITALIAN I,Lect,111,1,Simone Gugliotta,MWF 01:20-02:35
Smith,ITL,SAVORING ITALY:CUISINE/CULTURE,Lect,205,1,Marco Piana,W 07:00-09:00
Smith,ITL,INTERMEDIATE ITALIAN,Lect,220,1,Maria Succi-Hempstead,MWF 01:20-02:30
Smith,ITL,INTERMEDIATE ITALIAN,Lect,220,2,Maria Succi-Hempstead,MWF 10:50-12:00
Smith,ITL,INTERMEDIATE CONVERSATION,Disc,235,1,Marco Piana,Th 02:45-04:00
Smith,ITL,CULTURE CONTEXT: ITAL IMMERSN,Lect,245,1,Marco Piana,TTh 10:50-12:05
Smith,ITL,TEACHING ROMANCE LANGUAGES,Lect,299,1,Simone Gugliotta,TTh 02:45-04:00
Smith,ITL,BOCCACCIO: DECAMERON,Lect,334,1,Marco Piana,TTh 09:25-10:40
Smith,ITL,BOCCACCIO: DECAMERON-DISCUSSIO,Disc,335,1,Marco Piana,
Smith,JPN,JAPANESE I (INTENSIVE),Lect,110,1,Kimberly Kono; Atsuko Takahashi,MWF 08:25-09:15
Smith,JPN,JAPANESE I (INTENSIVE),Lect,110,2,Kimberly Kono; Atsuko Takahashi,MWF 09:25-10:15
Smith,JPN,JAPANESE I (INTENSIVE) DISCUSS,Disc,110,D01,Kimberly Kono,TTh 08:25-09:15
Smith,JPN,JAPANESE I (INTENSIVE) DISCUSS,Disc,110,D02,Kimberly Kono,TTh 09:25-10:15
Smith,JPN,JAPANESE II (INTENSIVE),Lect,220,1,Yuri Kumagai,MWF 08:25-09:15
Smith,JPN,JAPANESE II (INTENSIVE),Disc,220,D01,Yuri Kumagai,TTh 08:25-09:15
Smith,JPN,JAPANESE III,Lect,301,1,Yuri Kumagai,MWF 10:50-12:05
Smith,JPN,CONTEMPORARY TEXTS,Lect,350,1,Atsuko Takahashi,TTh 01:20-02:35
Smith,JUD,ELEMENTARY MODERN HEBREW I,Lect,101,1,Joanna Caravita,MWF 09:25-10:40
Smith,JUD,JUDAISM AND ENVIRONMENTALISM,Lect,229,1,Justin Cammy,TTh 09:25-10:40
Smith,JUD,HISTORY OF ISRAEL,Lect,288,1,Justin Cammy,TTh 02:45-04:00
Smith,KOR,KOREAN I,Lect,101,1,Suk Massey,MWF 09:25-10:15
Smith,KOR,KOREAN I,Lect,101,2,Suk Massey,MWF 10:50-11:40
Smith,KOR,KOREAN I,Lect,101,3,Shihyun Kim,MWF 08:25-09:15
Smith,KOR,KOREAN II,Lect,201,1,Shihyun Kim,MWF 09:25-10:15
Smith,KOR,KOREAN III,Lect,301,1,Suk Massey,MW 02:45-04:00
Smith,LAS,INTRO TO LATIN AMERICAN STUDIE,Lect,150,1,,MW 09:25-10:40
Smith,LAS,COLQ: CARIBBEAN FEMINISMS,Coll,201,2,Ginetta Candelario,TTh 09:25-10:40
Smith,LAS,KNOWING LATIN AMERICA,Coll,250,1,Dana Leibsohn,TTh 02:45-04:00
Smith,LAS,SEM:TOPCS-HISTORY OF WATER,Semi,301,1,Javier Puente,W 01:20-04:00
Smith,LAT,ELEMENTARY LATIN,Lect,100Y,1,Rebecca Worsham,MWF 09:25-10:40
Smith,LAT,INTRO TO LATIN PROSE & POETRY,Lect,212,1,Scott Bradbury,MW 09:25-10:40
Smith,LAT,ADV READINGS-MYTHS OF ROME,Lect,330,1,Nancy Shumate,MW 09:25-10:40
Smith,LOG,VALID & INVALID REASONING,Lect,100,1,Jay Garfield; Theresa Helke; Melissa Yates,MF 09:25-10:40
Smith,LOG,VALID & INVALID REASONING DISC,Disc,100,D01,Theresa Helke,W 09:25-10:40
Smith,LOG,VALID & INVALID REASONING DISC,Disc,100,D02,Jay Garfield,W 09:25-10:40
Smith,LOG,VALID & INVALID REASONING DISC,Disc,100,D04,Theresa Helke,W 10:50-12:05
Smith,LOG,VALID & INVALID REASONING DISC,Disc,100,D06,Jay Garfield,W 02:45-04:00
Smith,LSS,INTRO TO LANDSCAPE STUDIES,Lect,105,1,Steven Moga,MW 09:25-10:40
Smith,LSS,VISUAL STORYTELLING,Lect,260,1,Reid Bertone-Johnson,MWF 01:20-02:35
Smith,LSS,SEM:RETHINKING LANDSCAPE,Semi,300,1,Steven Moga,MW 01:20-02:35
Smith,MES,INTRO: MES COMPARATIV POLITICS,Lect,203,1,Steven Heydemann,TTh 09:25-10:40
Smith,MES,INTRO HISTRY MOD MID EAST,Lect,208,1,Susanna Ferguson,TTh 01:20-02:35
Smith,MES,SEX & POWER IN THE MIDDLE EAST,Coll,213,1,Susanna Ferguson,TTh 10:50-12:05
Smith,MES,SEM:AUTHORITARIANISM-MID EAST,Semi,380,1,Steven Heydemann,T 07:00-09:30
Smith,MTH,MATH SKILLS STUDIO,Lect,101,1,Catherine McCune,TTh 09:25-10:40
Smith,MTH,ELEMENTARY FUNCTIONS,Lect,102,1,,MWF 09:25-10:15
Smith,MTH,CALCULUS I,Lect,111,1,,MWF 08:00-09:15
Smith,MTH,CALCULUS I,Lect,111,2,Geremias Polanco,MWF 09:25-10:40
Smith,MTH,CALCULUS I,Lect,111,3,,MWF 10:50-12:05
Smith,MTH,CALCULUS I,Lect,111,4,,MWF 10:50-12:05
Smith,MTH,CALCULUS II,Lect,112,1,,MWF 09:25-10:40
Smith,MTH,CALCULUS II,Lect,112,2,,MWF 10:50-12:05
Smith,MTH,CALCULUS II,Lect,112,3,,MWF 01:20-02:35
Smith,MTH,INTRO DISCRETE MATHEMATICS,Lect,153,1,,MWF 09:25-10:40
Smith,MTH,INTRO DISCRETE MATHEMATICS,Lect,153,2,,MWF 10:50-12:05
Smith,MTH,LINEAR ALGEBRA,Lect,211,1,Pau Atela,TTh 01:20-02:35
Smith,MTH,LINEAR ALGEBRA,Lect,211,2,Pau Atela,TTh 09:25-10:40
Smith,MTH,MULTIVARIABLE CALCULUS,Lect,212,1,,MWF 09:25-10:40
Smith,MTH,MULTIVARIABLE CALCULUS,Lect,212,2,,MWF 10:50-11:40
Smith,MTH,TOPICS IN NUMBER THEORY,Lect,238,1,Geremias Polanco,MWF 10:50-12:05
Smith,MTH,PROBABILITY,Lect,246,1,Katherine Halvorsen,TTh 10:50-12:05
Smith,MTH,TOPICS IN APPLIED-DIFFERENTIAL,Lect,264,1,Candice Price,MWF 02:45-04:00
Smith,MTH,TOPCS/ GEOMETRY-SHAPE OF SPACE,Lect,270,1,Patricia Cahn,TTh 09:25-10:40
Smith,MTH,INTRODUCTION TO ANALYSIS,Lect,281,1,Christophe Gole,MWF 09:25-10:40
Smith,MTH,TOPCS:ABSTRACT ALGBRA-CATEGORY,Lect,333,1,Stefanie Wang,MW 01:20-02:35
Smith,MTH,ADV TPCS DISCRET APPLIED-COMBI,Semi,353,1,Julianna Tymoczko,T 01:20-02:35; Th 01:20-04:00
Smith,MUS,MAKING MUSIC HISTORY,Lect,102,1,Andrea Moore,TTh 10:50-12:05
Smith,MUS,ANALYSIS AND REPERTORY I,Lect,110,1,Philip Acimovic,MW 01:20-02:35
Smith,MUS,ANALYSIS AND REPERTORY I,Lab,110,L01,Sarah Paquet,
Smith,MUS,MUSIC DECODED,Lect,120,1,Sarah Paquet,M 10:50-12:05
Smith,MUS,COLQ: TOPICS IN POP: JAZZ,Coll,205,1,Steve Waksman,TTh 02:45-04:00
Smith,MUS,OPEN MUSIC,Lect,212,1,Philip Acimovic,MW 09:25-10:40
Smith,MUS,INTRO TO COMPOSITION,Lect,233,1,Katharine Soper,MW 02:45-04:00
Smith,MUS,HISTORY OF THE OPERA,Lect,251,1,Andrea Moore,TTh 01:20-02:35
Smith,MUS,ELECTRO-ACOUSTIC MUSIC,Lect,345,1,Katharine Soper,M 07:00-09:30
Smith,MUS,CHAMBER MUSIC ENSEMBLES,Perf,901,1,Joel Pitchon,Th 07:30-09:30
Smith,MUS,FIRST YEAR PERFORMANCE,Perf,914Y,1,,
Smith,MUS,SECOND YEAR PERFORMANCE,Perf,924Y,1,,
Smith,MUS,ADVANCED PERFORMANCE,Perf,930Y,1,,
Smith,MUS,CONCENTRATION IN PERFORMANCE,Perf,940Y,1,,
Smith,MUS,INTRO TO CHORAL SINGING,Perf,951,1,Sarah Paquet,M 04:10-05:30
Smith,MUS,SMITH COLLEGE GLEE CLUB,Perf,952,1,Jonathan Hirsh,MW 04:10-05:29
Smith,MUS,SMITH COLLEGE CHAMBER SINGERS,Perf,953,1,Jonathan Hirsh,MW 05:31-06:30
Smith,MUS,SMITH COLLEGE ORCHESTRA,Perf,954,1,Jonathan Hirsh,T 07:00-09:30
Smith,MUS,SMITH JAVANESE GAMELAN ENSEMBL,Perf,955,1,Maho Ishiguro,W 07:00-10:00
Smith,MUS,SMITH COLLEGE JAZZ ENSEMBLE,Perf,956,1,Genevieve Rose,W 07:00-10:00
Smith,MUS,SMITH COLLEGE WIND ENSEMBLE,Perf,957,1,Hannah Berube,M 07:00-08:30
Smith,MUS,SMITH CELTIC MUSIC ENSEMBLE,Perf,958,1,Ellen Redman,Th 06:00-07:29
Smith,MUS,HANDBELL CHOIR,Perf,959,1,Grant Moss,TTh 05:00-06:00
Smith,MUS,CHINESE MUSIC ENSEMBLE,Perf,960,1,Chia-Yu Joy Lu,T 05:25-07:00
Smith,MUX,MUSEUMS IN SOCIETY,Lect,119,1,Margaret Newey,F 01:20-02:35
Smith,NSC,EXPERMNTL METHODS/NEUROSCIENCE,Lect,230,1,Beth Powell,TTh 09:25-10:40
Smith,NSC,EXPER METHODS/NEUROSCIENCE LAB,Lab,230,L01,Narendra Pathak,W 01:20-04:00
Smith,NSC,SEM-PLASTIC BRAIN,Semi,312,1,Daniel Vahaba,T 01:20-04:00
Smith,NSC,SEM: ALZHEIMER'S & OTHER DEMEN,Semi,312,2,Mary Harrington,TTh 07:00-08:20
Smith,NSC,SYSTEMS NEUROBIOLOGY,Lect,318,1,Lisa Mangiamele,TTh 09:25-10:40
Smith,PHI,THINKING ABOUT THINKING,Lect,100,1,Theresa Helke; Jeffry Ramsey,TTh 09:25-10:40
Smith,PHI,ETHICS,Lect,222,1,Melissa Yates,MW 01:20-02:35
Smith,PHI,CONTINENTAL PHILOSOPHY,Lect,225,1,Susan Levin,MW 02:45-04:00
Smith,PHI,"MORALITY, POLITICS & THE LAW",Lect,235,1,Elizabeth Spelman,TTh 10:50-12:05
Smith,PHI,ENVIRONMENTAL ETHICS,Lect,238,1,Jeffry Ramsey,TTh 02:45-04:00
Smith,PHI,MEANING AND TRUTH,Lect,262,1,Theresa Helke,TTh 10:50-12:05
Smith,PHI,SEM:REC&CONTEMP-REPAIR,Semi,310,1,Elizabeth Spelman,Th 01:20-04:00
Smith,PHI,SEM:HISTORY OF PHILOSOPHY,Semi,330,1,Jay Garfield,M 01:20-04:00
Smith,PHY,INTRODUCTORY PHYSICS I,Lect,117,1,William Williams,MWF 08:50-10:40
Smith,PHY,INTRODUCTORY PHYSICS I,Lect,117,2,Gary Felder,MWF 01:20-03:10
Smith,PHY,INTRODUCTORY PHYSICS I DISCUSS,Disc,117,D01,William Williams,T 04:10-05:00
Smith,PHY,INTRODUCTORY PHYSICS I DISCUSS,Disc,117,D02,Gary Felder,Th 04:10-05:00
Smith,PHY,INTRODUCTORY PHYSICS II,Lect,118,1,Doreen Weinberger,MWF 08:50-10:40
Smith,PHY,INTRODUCTORY PHYSICS II DISCUS,Disc,118,D01,Doreen Weinberger,Th 04:10-05:00
Smith,PHY,ADV INTRO PHYSICS,Lect,119,1,Travis Norsen,MWF 08:50-10:40
Smith,PHY,ADV INTRO PHYSICS DISCUSS,Disc,119,D01,Travis Norsen,T 04:10-05:00
Smith,PHY,MATH MTHD PHY SCI & ENGIN I,Lect,210,1,Travis Norsen,MWF 01:20-02:35
Smith,PHY,ELECTRONICS,Lect,240,1,Joyce Palmer-Fortune,TTh 09:25-10:40
Smith,PHY,ELECTRONICS LAB,Lab,240,L01,Joyce Palmer-Fortune,Th 01:20-04:00
Smith,PHY,PHYSICS PEDAGOGY: THEORY,Lect,300,1,Joyce Palmer-Fortune,M 04:10-06:00
Smith,PHY,CLASSICAL MECHANICS,Lect,317,1,Nathanael Fortune,MWF 01:20-02:35
Smith,POR,BEGINNING PORTUGUESE I,Lect,110,1,Marguerite Harrison,MWF 09:25-10:15
Smith,POR,ELEMENT PORTUG SPANISH SPEAKER,Lect,125,1,Malcolm McNee,MWF 10:50-12:05
Smith,POR,INTERMEDIATE PORTUGUESE,Lect,200,1,Simone Gugliotta,MWF 10:50-12:05
Smith,POR,BRAZILIAN ART INSIDE AND OUT,Lect,201,1,Marguerite Harrison,MW 01:20-02:35
Smith,POR,BORDERLANDS OF PORTUGUESE,Lect,233,1,Malcolm McNee,MW 02:45-04:00
Smith,POR,TEACHING ROMANCE LANGUAGES,Lect,299,1,Simone Gugliotta,TTh 02:45-04:00
Smith,PPL,PUBLIC POLICY ANALYSIS,Lect,220,1,Randall Bartlett,MWF 10:50-11:40
Smith,PSY,INTRODUCTION TO PSYCHOLOGY,Lect,100,1,Nnamdi Pole,M 01:20-02:35
Smith,PSY,INTRODUCTION TO PSYCHOLOGY,Disc,100,D01,Philip Peake,TTh 02:45-04:00
Smith,PSY,INTRODUCTION TO PSYCHOLOGY,Disc,100,D02,Nnamdi Pole,TTh 10:50-12:05
Smith,PSY,INTRODUCTION TO PSYCHOLOGY,Disc,100,D03,Brianna McMillan,TTh 10:50-12:05
Smith,PSY,INTRODUCTION TO PSYCHOLOGY,Disc,100,D04,Brianna McMillan,TTh 01:20-02:35
Smith,PSY,INTRODUCTION TO PSYCHOLOGY,Disc,100,D05,Philip Peake,TTh 01:20-02:35
Smith,PSY,CLINICAL NEUROSCIENCE,Lect,130,1,Beth Powell,MWF 10:50-12:05
Smith,PSY,ABNORMAL PSYCHOLOGY,Lect,150,1,Caitlin Shepherd,TTh 01:20-02:35
Smith,PSY,SOCIAL PSYCHOLOGY,Lect,170,1,Gregory Larsen,TTh 10:50-12:05
Smith,PSY,INTRO TO RESEARCH METHODS,Lect,202,1,Caitlin Shepherd,TTh 09:25-10:40
Smith,PSY,INTRO TO RESEARCH METHODS,Lect,202,2,Caitlin Shepherd,TTh 10:50-12:05
Smith,PSY,COGNITIVE PSYCHOLOGY,Lect,218,1,Maryjane Wraga,MW 09:25-10:40
Smith,PSY,"BRAIN, BEHAVIOR & EMOTION",Coll,227,1,Annaliese Beery,WF 10:50-12:05
Smith,PSY,COLQ: HEALTH PROMOTION,Coll,240,1,Benita Jackson,TTh 10:50-12:05
Smith,PSY,COLQ: PSYCH/BLACK EXPERIENCE,Coll,263,1,Nnamdi Pole,TTh 01:20-02:35
Smith,PSY,MORAL PSYCHOLOGY,Coll,267,1,Katherine Clemans,TTh 02:45-04:00
Smith,PSY,ABNRML PSY:EVIDENCE BASED PRAC,Coll,287,1,Randy Frost,TTh 09:25-10:40
Smith,PSY,CALDERWOOD SEM: PUBLIC SQUARE,Semi,312,1,Maryjane Wraga,Th 01:20-04:00
Smith,PSY,RSRCH SEM:FMNST PRSPCT/PSY SCI,Semi,345,1,Benita Jackson,TTh 01:20-02:35
Smith,PSY,S: ADV ABNORMAL PSYCH-POSSESSN,Semi,354,1,Randy Frost,T 01:20-04:00
Smith,PSY,PEER RELATIONSHIPS,Semi,360,1,Katherine Clemans,M 01:20-04:00
Smith,QSK,MATH SKILLS STUDIO,Lect,101,1,Catherine McCune,TTh 09:25-10:40
Smith,REL,AN INTRO TO WORLD RELIGIONS,Lect,105,1,Carol Zaleski,TTh 10:50-12:05
Smith,REL,SPIRITUAL BUT NOT RELIGIOUS,Lect,107,1,David Howlett; Andy Rotman,MW 02:45-04:00
Smith,REL,INTRO TO THE BIBLE I,Lect,112,1,Joel Kaminsky,MWF 10:50-12:05
Smith,REL,PUTIN'S RUSSIA:AFTER COMMUNISM,Lect,140,1,Vera Shevzov,TTh 10:50-12:05
Smith,REL,INTRO TO CONTEMPORARY HINDUISM,Lect,171,1,Andy Rotman,MW 01:20-02:35
Smith,REL,COLQ:APPR TO STUDY RELIGION,Coll,200,1,Joel Kaminsky,MW 01:20-02:35
Smith,REL,PHILOSOPHY OF RELIGION,Lect,205,1,Carol Zaleski,TTh 02:45-04:00
Smith,REL,JESUS,Lect,230,1,Vera Shevzov,TTh 02:45-04:00
Smith,REL,INTRO TO  ISLAMIC TRADITIONS,Lect,245,1,Suleiman Mourad,TTh 09:25-10:40
Smith,REL,RELIGION RACE&RESISTNCE-US,Coll,292,1,David Howlett,TTh 02:45-04:00
Smith,REL,SEM: ISLAMIC THOUGHT-SHARI'A L,Semi,345,1,Suleiman Mourad,TTh 01:20-02:35
Smith,RES,ELEMENTARY RUSSIAN,Lect,100Y,1,Ilona Sotnikova,MWF 10:50-12:05
Smith,RES,20TH CENTURY RUSSIAN LIT,Lect,127,1,Polina Barskova,MW 02:45-04:00
Smith,RES,PUTIN'S RUSSIA:AFTER COMMUNISM,Lect,140,1,Vera Shevzov,TTh 10:50-12:05
Smith,RES,INTERMEDIATE RUSSIAN I,Lect,221,1,Ilona Sotnikova,MWF 09:25-10:40
Smith,SDS,COMMUNICATING WITH DATA,Lect,109,1,,TTh 01:20-02:35
Smith,SDS,INTRO TO DATA SCIENCES,Lect,192,1,Benjamin Baumer,MWF 10:50-12:05
Smith,SDS,STATISTICAL METHODS:UNDERGRAD,Lect,201,1,,MWF 09:25-10:40
Smith,SDS,STATISTICAL METHODS:UNDERGRAD,Lab,201,L01,,T 08:00-09:15
Smith,SDS,STATISTICAL METHODS:UNDERGRAD,Lab,201,L02,,T 09:25-10:40
Smith,SDS,INTRO/PROBABILITY/STATISTICS,Lect,220,1,,MWF 09:25-10:40
Smith,SDS,INTRO/PROBABILITY/STATISTICS,Lect,220,2,,MWF 10:50-12:05
Smith,SDS,INTRO/PROBABILITY/STATISTICS,Lab,220,L01,,T 08:00-09:15
Smith,SDS,INTRO/PROBABILITY/STATISTICS,Lab,220,L02,,T 09:25-10:40
Smith,SDS,INTRO/PROBABILITY/STATISTICS,Lab,220,L03,,Th 01:20-02:35
Smith,SDS,INTRO/PROBABILITY/STATISTICS,Lab,220,L04,,Th 02:45-04:00
Smith,SDS,PROBABILITY,Lect,246,1,Katherine Halvorsen,TTh 10:50-12:05
Smith,SDS,RESEARCH DESIGN & ANALYSIS,Lect,290,1,Randi Garcia,MW 02:45-04:00
Smith,SDS,MULTIPLE REGRESSION,Lect,291,1,Miles Ott,TTh 09:25-10:40
Smith,SDS,CAPSTONE IN SDS,Semi,410,1,Miles Ott,MW 01:20-02:35
Smith,SOC,INTRODUCTION TO SOCIOLOGY,Lect,101,2,Rick Fantasia,TTh 10:50-12:05
Smith,SOC,INTRODUCTION TO SOCIOLOGY,Lect,101,4,William Albertson,MW 01:20-02:35
Smith,SOC,STATS & QUANT RESEARCH MTHD,Lect,204,1,Nancy Whittier,TTh 10:50-12:05
Smith,SOC,STATS & QUANT RESEARCH MTHD LB,Lab,204,L01,Nancy Whittier,F 09:25-10:15
Smith,SOC,STATS & QUANT RESEARCH MTHD LB,Lab,204,L02,Nancy Whittier,F 10:50-11:40
Smith,SOC,FAMILY & SOCIETY,Lect,224,1,William Albertson,MW 10:50-12:05
Smith,SOC,SEX & GENDER IN AMER SOCIETY,Lect,229,1,William Albertson,MW 02:45-04:00
Smith,SOC,NEW GLOBAL POLITICAL ECONOMY,Lect,236,1,Payal Banerjee,TTh 01:20-02:35
Smith,SOC,THEORIES OF SOCIETY,Lect,250,1,Rick Fantasia,TTh 02:45-04:00
Smith,SOC,MEDIA AND TECHNOLOGY,Lect,270,1,Timothy Recuber,MW 01:20-02:35
Smith,SOC,SEM: GLOBAL MIGRATION IN 21CEN,Semi,327,1,Payal Banerjee,W 01:20-04:00
Smith,SOC,"SEM:SOC JUSTICE, ENVIRON &CORP",Semi,333,1,Leslie King,T 01:20-04:00
Smith,SPN,ELEMENTARY SPANISH,Lect,112Y,1,Molly Falsetti-Yu,MWF 09:25-10:40
Smith,SPN,LOW INTERMEDIATE SPANISH,Lect,120,1,Molly Falsetti-Yu,MWF 10:50-12:05
Smith,SPN,INTERMEDIATE SPANISH,Lect,200,1,Adrian Gras-Velazquez,MW 09:25-10:40
Smith,SPN,INTERMEDIATE SPANISH,Lect,200,2,Melissa Belmonte,MWF 10:50-12:05
Smith,SPN,INTERMEDIATE SPANISH,Lect,200,3,Molly Falsetti-Yu,MWF 01:20-02:35
Smith,SPN,CONTEMP CULTR SPAN-SPEAK WORLD,Lect,220,1,Silvia Berger,MWF 09:25-10:15
Smith,SPN,CONTEMP CULTR SPAN-SPEAK WORLD,Lect,220,2,Adrian Gras-Velazquez,MW 10:50-12:05
Smith,SPN,CONTEMP CULTR SPAN-SPEAK WORLD,Lect,220,3,Silvia Berger,MWF 01:20-02:10
Smith,SPN,TOPICS IN LAT AMER CULTUR-TRAV,Lect,230,1,Maria Helena Rueda,MW 09:25-10:40
Smith,SPN,T:LAT AMER CULTUR-SPAN WOM WRT,Lect,230,2,Reyes Lazaro,TTh 01:20-02:35
Smith,SPN,T: MUJERES DE ARTES TOMAR,Lect,240,1,Maria Harretche,TTh 10:50-12:05
Smith,SPN,T:LAT AMER LIT & CULTUR-JEWISH,Lect,246,1,Silvia Berger,MW 10:50-12:05
Smith,SPN,MUSLIM WOMEN IN FILM,Coll,255,1,Ibtissam Bouachrine,TTh 02:45-04:00
Smith,SPN,NEW SPAIN IN AMERICA,Coll,257,1,Maria Harretche,TTh 01:20-02:35
Smith,SPN,TEACHING ROMANCE LANGUAGES,Lect,299,1,Simone Gugliotta,TTh 02:45-04:00
Smith,SPN,SEM:BLACKNESS IN SPAIN,Semi,372,1,Reyes Lazaro,TTh 10:50-12:05
Smith,SPN,S: LIT MOVMNT SPAN AMER-POL&FL,Semi,373,1,Maria Helena Rueda,MW 01:20-02:35
Smith,SWG,INTRO STUDY OF WOMEN & GENDER,Lect,150,1,Kelly Anderson,TTh 01:20-02:35
Smith,SWG,INTRO STUDY OF WOMEN & GENDER,Lect,150,2,Jennifer DeClue,MW 10:50-12:05
Smith,SWG,THE QUEER 90'S,Lect,200,1,Jennifer DeClue,MW 01:20-02:35
Smith,SWG,GIRLS IN THE SYSTEM,Lect,211,1,Adina Giannelli,MW 02:45-04:00
Smith,SWG,FEMINIST & QUEER DISABILITY ST,Coll,227,1,Jina Kim,MW 02:45-04:00
Smith,SWG,WHITE SUPREMACY/ AGE OF TRUMP,Lect,241,1,Loretta Ross,TTh 02:45-04:00
Smith,SWG,QUEER ECOLOGIES,Coll,267,1,Evangeline Heiliger,TTh 01:20-02:35
Smith,SWG,IMMIGRATN & SEX/ FRANCE&EUROPE,Lect,288,1,Mehammed Mack,MW 01:20-02:35
Smith,SWG,MARXIST FEMINISM,Semi,321,1,Elisabeth Armstrong,F 01:20-04:00
Smith,SWG,SEM: MEMOIR WRITING,Semi,360,1,Cornelia Pearsall,T 01:20-04:00
Smith,THE,ART OF THEATRE DESIGN,Lect,100,1,Edward Check,MWF 10:50-11:40
Smith,THE,ACTING I,Lect,141,2,Tara Franklin,TTh 09:25-12:05
Smith,THE,VOICE FOR ACTORS,Lect,142,1,Norma Noel,MW 10:50-12:05
Smith,THE,READNG DRESS:ARCHIVL CLOTHING,Lect,154,1,Catherine Smith,M 07:00-09:30
Smith,THE,THEAT HST & CUL:ANC GRE-RESTOR,Lect,198,1,Kyriaki Gounaridou,MW 01:20-02:35
Smith,THE,THEATRE PRODUCTION,Prod,200,1,Nicole Beck,
Smith,THE,THEATRE PRODUCTION,Prod,201,1,Nicole Beck,
Smith,THE,AMERICAN THEATRE & DRAMA,Lect,213,1,Kyriaki Gounaridou,MW 02:45-04:00
Smith,THE,MODERN EUROPEAN DRAMA I,Lect,217,1,Leonard Berkman,TTh 09:25-10:40
Smith,THE,STAGING THE JEW,Lect,241,1,Ellen Kaplan,MW 10:50-12:05
Smith,THE,INTRO TO COSTUME DESIGN,Lect,254,1,Catherine Smith,TTh 09:25-12:05
Smith,THE,WRITING FOR THEATRE I,Lect,261,1,Andrea Hairston,T 01:20-04:00
Smith,THE,WRITING FOR THEATRE I,Lect,261,2,Leonard Berkman,Th 01:20-04:00
Smith,THE,WRITING FOR THEATRE II,Lect,262,1,Andrea Hairston,T 01:20-04:00
Smith,THE,WRITING FOR THEATRE II,Lect,262,2,Leonard Berkman,Th 01:20-04:00
Smith,THE,MASTERS & MOVE: PERFORMANCE,Lect,312,1,Daniel Kramer,TTh 10:50-12:05
Smith,THE,PRODUCTION DESIGN FOR FILM,Lect,360,1,Edward Check,MW 01:20-02:35
